"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","配置中心-凭证更新","post https://192.168.1.205/api/cmdb/model/instance/update"
"passed","Wed Jan 13 10:42:38 CST 2021","Wed Jan 13 10:42:38 CST 2021","0","test_case","test_excel","TestExcel","","","公告详情","get https://192.168.1.205/api/auth/notify/notice/detail"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","凭证-检测有效性","post https://192.168.1.205/api/cmdb/model/instance/voucher/check"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","模型设置-关系管理删除关系","post https://192.168.1.205/api/cmdb/model/relation/delete"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","IPMI、WMI数据源-查询","get https://192.168.1.205/api/cmdb/data/source/command/search"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","配置中心-弃用模型","post https://192.168.1.205/api/cmdb/model/archive"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","网络设备-导入实例","post https://192.168.1.205/api/cmdb/model/instance/import/22"
"failed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","配置中心-字典管理删除","post https://192.168.1.205/api/cmdb/sys/dict/batch/delete"
"failed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","配置中心-字典管理新增","post https://192.168.1.205/api/cmdb/sys/dict/add"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","数据源-脚本新增/编辑","post https://192.168.1.205/api/cmdb/data/source/script/set"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","部门小组删除","post https://192.168.1.205/api/auth/department/delete"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","模型配置-新增模型","post https://192.168.1.205/api/cmdb/model/add"
"passed","Wed Jan 13 10:42:37 CST 2021","Wed Jan 13 10:42:37 CST 2021","0","test_case","test_excel","TestExcel","","","采集项模型-CMDB采集项更新","post https://192.168.1.205/api/cmdb/model/collect-attr/update"
